Menge;Bezeichnung;Typ;Bemerkungen;Bild;Link;X;Y
6;EEPROM  28C16;28C16;;;;;
3;Einbaumessger‰t  15V;15V;(Schublade);;;;
5;Einbaumessger‰t  1A;1A;(Schublade);;;;
7;Einbaumessger‰t  30V;30V;(Schublade);;;;
44;Elko  0.47uF;0.47uF;;;;;
29;Elko  1000uF;1000uF;;;;;
30;Elko  100uF;100uF;;;;;
31;Elko  10uF;10uF;RM2 35V;;;;
32;Elko  1uF;1uF;;;;;
10;Elko  2.2uF;2.2uF;;;;;
41;Elko  2200uF;2200uF;im gelben Schrank ligen ca. 150 StÅck;;;;
9;Elko  220uF;220uF;63V 26*10;;;;
4;Elko  22uF RM17.5;22uF;;;;;
10;Elko  22uF RM35;22uF;;;;;
24;Elko  4.7uF;4.7uF;;;;;
6;Elko  4700uF;4700uF;;;;;
1;Elko  4700uF;4700uF;;;;;
5;Elko  4700uF/16V;4700uF/16V;Typ:B41306;;;;
37;Elko  470uF;470uF;63V 31,5*13;;;;
67;Elko  47uF;47uF;RM2 35V;;;;
1;EPROM  2716;2716;;;;;
0;Federleiste  100-032-455;100-032-455;;;;;
0;Federleiste  100-032-457;100-032-457;;;;;
0;Federleiste  100-532-451;100-532-451;;;;;
0;Federleiste  104-015-414;104-015-414;Schublade2;;;;
0;Federleiste  160-964-553;160-964-553;;;;;
0;Federleiste  C42 334-A56-A41;C42 334-A56-A41;;;;;
14;Federleiste 34-pol.  CKV 34-023;CKV 34-023;;;;;
6;Feinsicherung  0.4A tr‰ge;0.4A trÑge;;;;;
10;Feinsicherung  0.5A flink;0.5A flink;;;;;
10;Feinsicherung  0.5A tr‰ge;0.5A trÑge;;;;;
10;Feinsicherung  0.8A flink;0.8A flink;;;;;
7;Feinsicherung  0.8A tr‰ge;0.8A trÑge;;;;;
11;Feinsicherung  1.6A flink;1.6A flink;;;;;
19;Feinsicherung  1.6A tr‰ge;1.6A trÑge;;;;;
14;Feinsicherung  100mA mitteltr‰ge;100mA mitteltr;;;;;
11;Feinsicherung  10A tr‰ge;10A trÑge;;;;;
10;Feinsicherung  125mA flink;125mA flink;;;;;
10;Feinsicherung  1A flink;1A flink;;;;;
6;Feinsicherung  1A tr‰ge;1A trÑge;;;;;
28;Feinsicherung  2.5A flink;2.5A flink;;;;;
2;Feinsicherung  200mA flink;200mA flink;;;;;
16;Feinsicherung  250mA flink;250mA flink;;;;;
6;Feinsicherung  2A flink;2A flink;;;;;
24;Feinsicherung  3.15A flink;3.15A flink;;;;;
10;Feinsicherung  315mA flink;315mA flink;;;;;
5;Feinsicherung  32mA flink;32mA flink;;;;;
24;Feinsicherung  4A flink;4A Flink;;;;;
6;Feinsicherung  50mA flink;50mA flink;;;;;
15;Feinsicherung  6.3A flink;6.3A flink;;;;;
16;Feinsicherung  6.3A tr‰ge;6.3A trÑge;;;;;
21;Feinsicherung 2A tr‰ge;2A trÑge;;;;;
13;FET  BF245;BF245;N-Kanal;;;;
4;FET  BS170;BS170;N-Kanal;;;;
10;FET  BSS100;BSS100;N-Kanal;;;;
4;FET  BUK456;BUK456;;;;;
7;FET  BUZ21;BUZ21;N-Kanal;;;;
108;FlachsteckhÅ¸lse  1040/00;1040/00;;;;;
246;FlachsteckhÅ¸lse  1045/00;1045/00;"passend zu Steckzungen ;;;;
45;FlachsteckhÅ¸lse  B1507;B1507;50 Stk, 0,5-1,5mm2;;;;
79;FlachsteckhÅlse  B2507;B2507;50 Stk;;;;
5;FlachsteckhÅlse  Flak 6.3;Flak 6.3;6,3 x 0,8 mm;;;;
3;Flachtaster;Flachtaste;1 Wechsler, schwarz, AnschlÅsse im Raster ";;;;
28;Folienkondensator  0.15uF RM5;0.15uF RM5;;;;;
34;Folienkondensator  0.1uF RM22.5;0.1uF RM22.5;;;;;
9;Folienkondensator  0.33uF;0.33uF;;;;;
0;Folienkondensator  0.33uF RM27.5;0.33uF RM27.5;;;;;
38;Folienkondensator  0.47uF;0.47uF;;;;;
58;Folienkondensator  0.47uF;0.47uF;;;;;
36;Folienkondensator  0.47uF RM5;0.47uF RM5;;;;;
34;Folienkondensator  0.68uF;0.68uF/63V;MKS4;;;;
11;Folienkondensator  1.5uF/160V;1.5uF/160V;TFM 2;;;;
2;Folienkondensator  100nF;100nF;;;;;
37;Folienkondensator  100nF RM10;100nF RM 10;fÅr NetzgerÑt 15V;;;;
15;Folienkondensator  100nF RM5;100nF RM 5;;;;;
15;Folienkondensator  10nF RM15;10nF RM15;;;;;
16;Folienkondensator  15nF;15nF;;;;;
0;Folienkondensator  15nF RM5;15nF RM5;;;;;
10;Folienkondensator  1nF;1nF;;;;;
20;Folienkondensator  1uF;1uF;;;;;
62;Folienkondensator  220nF;220nF;;;;;
18;Folienkondensator  3.3nF;3.3nF;;;;;
3;Folienkondensator  3.3uF/;3.3uF/63V;TFM 2;;;;
34;Folienkondensator  330nF;330nF;;;;;
97;Folienkondensator  330pF;330pF;;;;;
0;Folienkondensator  330pF RM5;330pF RM5;;;;;
9;Folienkondensator  33nF RM5;33nF RM5;;;;;
51;Folienkondensator  47nF RM15;47nF RM15;;;;;
19;Folienkondensator  47nF RM5;47nF RM5;;;;;
4;Folienkondensator  68nF RM5;68nF RM5;;;;;
5;Fotodiode  BPW34;BPW34;;;;;
5;Fototransistor  BPW 40;BPW 40;;;;;
55;Fototransistor  BPY62;BPY62;;;;;
1;Frequenzgenerator 8038;8038;;;;;
0;Frontplatte 5TE  2.350.252.9;2.350.252.9;Schublade2;;;;
0;Frontplatte 8TE  2.350.255.9;2.350.255.9;Schublade2;;;;
0;FÅhrungsschiene  2.310.010.3;2.310.010.3;Schublade2;;;;
3;Ger‰tedose  T 3363 000;T 3363 000;;;;;
12;Ger‰tefuﬂ  3100BLACK;3100BLACK;;;;;
6;Gleichrichter  B250C800;B250C800;;;;;
22;Gleichrichter  B80C1500;B80C1500;;;;;
2;Gleichrichter  B80C2000;B80C2000;;;;;
8;Gleichrichter  B80C3700;B80C3700;;;;;
15;Gleichrichter  B80C5000;B80C5000;;;;;
