Menge;Bezeichnung;Typ;Bemerkungen;Bild;Link;X;Y
7;Spannungsregler neg  7912;7912;;;;;
17;Spannungsregler neg  7912C;7912C;;;;;
4;Spannungsregler neg  7915;7915;;;;;
13;Spannungsregler neg  7915C;7915C;;;;;
2;Spannungsregler neg  7915K;7915K;;;;;
57;Spannungsregler pos  7805;7805;nicht bestellen;;;;
4;Spannungsregler pos  7805;7805;;;;;
57;Spannungsregler pos  7805C;7805C;;;;;
14;Spannungsregler pos  7808;7808;;;;;
52;Spannungsregler pos  7808C;7808C;;;;;
6;Spannungsregler pos  7812;MC7812CT;TO220, 1A;;;;
9;Spannungsregler pos  7812;7812;;;;;
2;Spannungsregler pos  7815C;7815C;;;;;
3;Spannungsregler pos  7815K;7815K;;;;;
7;Spannungsregler pos  7824C;7824C;;;;;
5;Spannungsregler pos  L78S09;L78S09;nicht bestellen;;;;
5;Spannungsregler uni  723;LM723CN;;;;;
1;Spannungsregler uni  LM309K;LM309K;;;;;
3;Spannungsregler uni  LM317K;LM317K;;;;;
7;Spannungsregler uni  LM317T;LM317T;;;;;
9;Spannungsregler uni  LM323K;LM323K;;;;;
7;Spannungsregler uni  LM337K;LM337K;;;;;
6;Spannungsregler uni  LM337T;LM337T;;;;;
3;Spannungsregler uni  SG4501;SG4501;+,- 15V;;;;
16;Spindeltrimmer  1M;1M;linear;;;;
11;Spindeltrimmer  2K;2K;linear;;;;
10;Spindeltrimmer  500R;500R;linear;;;;
1;Stabmagnet  4*12mm;4*12mm;;;;;
19;Steckbuchse  blau/4mm;blau/4mm;;;;;
13;Steckbuchse  gelb/4mm;gelb/4mm;;;;;
17;Steckbuchse  rot/4mm;rot/4mm;;;;;
2;Steckbuchse  schw/4mm;schw/4mm;;;;;
2;Stecker SV71  7pol;7pol;;;;;
0;Steckerbuchse  H11M-C2A;H11M-C2A;;;;;
0;Steckerbuchsen  CKG 21-031J4;CKG 21-031J4;;;;;
1;Steckergeh‰use  AGP 15P;AGP 15P;;;;;
11;Steckergeh‰use  AGP 25P;AGP 25P;;;;;
0;Steckerleiste  CKG 21-031N4;CKG 21-031N4;;;;;
0;Steckerleiste  H11F-C25;H11F-C25;;;;;
194;Steckh¸Ålse  1.3 mm;1.3 mm;50 Stk, Lˆtanschluﬂ;;;;
991;SteckhÅ¸lse  1mm;1mm;50 Stk;;;;
393;Stecklˆtˆsen  fÅr 1 mm Loch;fÅr 1 mm Loch;250 Stk;;;;
22;Stiftleiste  .;.;;;;;
1;Stiftleiste  C42334-A55-A407;C42334-A55-A407;;;;;
5;Stiftstecker  A-DS09LL/Z;A-DS09LL/Z;;;;;
7;Stiftstecker  A-DS15LL/Z;A-DS15LL/Z;;;;;
9;Stiftstecker  A-DS25LL/Z;A-DS25LL/Z;;;;;
3;Stufenschalter  1*12;1*12;;;;;
6;Stufenschalter  2*6;2*6;;;;;
36;Styroflex-Konden.  100pF;100pF;;;;;
16;Styroflex-Konden.  470pF;470pF;bis 160V;;;;
0;SubD GehÑuse  9 pol. Schwarz;DPPK;;;;;
1;Summer 12V  .;..;;;;;
7;Suppressordiode  BZW70/18P;BZW70/18P;;;;;
0;Tandempoti  10K;10K;;;;;
3;Tandempoti  1K;1K;6mm Achse;;;;
2;Tandempoti  1K;1K;4mm Achse;;;;
2;Tandempoti  5K;5K;6mm Achse;;;;
28;Tantalelko  0.22uF;0.22uF;;;;;
13;Tantalelko  1.5uF;1.5uF;;;;;
10;Tantalelko  10uF;10uF;;;;;
2;Tantalelko  150nF;150nF;;;;;
13;Tantalelko  1uF;1uF;;;;;
40;Tantalelko  2.2uF;2.2uF;;;;;
36;Tantalelko  3.3uF;3.3uF;;;;;
40;Tantalelko  4.7uF;4.7uF;;;;;
5;Tantalelko  47uF;47uF;;;;;
1;Taster  MPA 206 R;MPA 206 R;2 Wechsler;;;;
0;Taster  Schliesser;miniatur;schwarz, Schliesser;;;;
9;Taster  ÷ffner;miniatur;rot, ÷ffner;;;;
2;TemperaturfÅ¸hler  8073;8073;;;;;
2;Temperatursicherung  102G;102Grad;;;;;
17;Thyristor  BRX46;BRX46;;;;;
10;Thyristor  TIC106;TIC106;;;;;
3;Timer  NE555;NE555;;;;;
10;Timer  NE556;NE556;;;;;
8;Trafo 1.2VA  .;.;;;;;
5;Trafo 1.2VA  100;100;;;;;
19;Trafo 1VA  .;..;;;;;
3;Trafo 1VA  BV220-0-01225;BV220-0-01225;;;;;
2;Trafo 1VA  BV220-0-01226;BV220-0-01226;;;;;
1;Trafo 3.5VA/2*6V  BV222-1-01240;BV222-1-01240;;;;;
1;Trafo 3VA  VTR-38  6V;VTR-38  6V;;;;;
2;Trafo 7 VA  BV222-1-11250;BV222-1-11250;;;;;
-1;Trafo3.5VA/2*9V  BV222-1-11272;BV222-1-11272;;;;;
56;Transistor  2N4146;2N4146;;;;;
10;Transistorfassung  TO-03;TO-03;;;;;
28;Transistorfassung  TO-18;TO-18;;;;;
6;Treiber  UAA180;UAA180;LED-Treiber;;;;
7;Treiber  ULN2003;ULN2003;Transistortreiber, TTL;;;;
9;Treiber  ULN2004;ULN2004;Transistortreiber, CMOS;;;;
4;Triac  TIC 206 D;TIC 206 D;;;;;
0;Triac  TIC246M;TIC246M;;;;;
10;Trimmer  100K;100K;stehend, gekapselt, RM 5*2,5;;;;
21;Trimmer  100K;100K;liegend, gekapselt, RM5*10;;;;
7;Trimmer  100R;100R;liegend, gekapselt, RM5*10;;;;
19;Trimmer  10K;10K;liegend, gekapselt, RM5*10;;;;
11;Trimmer  1K;1K;stehend, gekapselt, RM 5*2,5;;;;
27;Trimmer  1K;1K;liegend, gekapselt, RM5*10;;;;
17;Trimmer  1M;1M;stehend, gekapselt, RM 5*2,5;;;;
9;Trimmer  2.2k;2.2k;stehend, gekapselt, RM 5*2,5;;;;
37;Trimmer  2.2K;2.2K;liegend, gekapselt, RM5*10;;;;
9;Trimmer  220K;220K;stehend, gekapselt, RM 5*2,5;;;;
1;Trimmer  220K;220K;liegend, gekapselt, RM5*10;;;;
40;Trimmer  220R;220R;liegend, gekapselt, RM5*10;;;;
6;Trimmer  2M2;2M2;liegend, gekapselt, RM5*10;;;;
20;Trimmer  4.7K;4.7K;stehend, gekapselt, RM 5*2,5;;;;
16;Trimmer  4.7K;4.7K;liegend, gekapselt, RM5*10;;;;
7;Trimmer  470K;470K;liegend, gekapselt, RM5*10;;;;
13;Trimmer  470R;470R;stehend, gekapselt, RM 5*2,5;;;;
10;Trimmer  470R;470R;liegend, gekapselt, RM5*10;;;;
10;Trimmer  47k;47k;liegend, gekapselt, RM5*10;;;;
12;Trimmer  47k;47k;stehend, gekapselt, RM 5*2,5;;;;
3;Trimmer  4M7;4M7;liegend, gekapselt, RM5*10;;;;
10;Trimmkondensator  0-30pF;0-30pF;;;;;
3;Trimmkondensator  0-45pF;0-45pF;;;;;
11;TTL  7400;7400;;;;;
3;TTL  7404;7404;;;;;
8;TTL  7406;7406;Inv. Treiber;;;;
7;TTL  74121;74121;;;;;
4;TTL  74141;74141;;;;;
7;TTL  7425;7425;;;;;
4;TTL  7440;7440;;;;;
5;TTL  7447;7447;;;;;
6;TTL  7483;7483;;;;;
4;TTL  7485;7485;;;;;
2;TTL  7493;7493;;;;;
8;TTL-HC  74192;74192;;;;;
2;TTL-HC  74HC03;74HC03;;;;;
4;TTL-HC  74HC42;74HC42;;;;;
19;TTL-HC  74HC93;74HC93;BinÑrzÑhler;;;;
7;TTL-HC  74LS253;74LS253;;;;;
5;TTL-HCT  74HCT373;74HCT373;8 BIT Zwischenspeicher;;;;
9;TTL-LS  74HC194;74HC194;;;;;
4;TTL-LS  74LS00;74LS00;;;;;
6;TTL-LS  74LS02N;74LS02N;;;;;
14;TTL-LS  74LS04;74LS04;;;;;
19;TTL-LS  74LS05;74LS05;;;;;
10;TTL-LS  74LS06;74LS06;;;;;
4;TTL-LS  74LS08;74LS08;;;;;
4;TTL-LS  74LS11;74LS11;;;;;
1;TTL-LS  74LS12;74LS12;;;;;
4;TTL-LS  74LS122;74LS122;Monoflop;;;;
9;TTL-LS  74LS123;74LS123;;;;;
8;TTL-LS  74LS125;74LS125;;;;;
7;TTL-LS  74LS13;74LS13;;;;;
3;TTL-LS  74LS132;74LS132;;;;;
8;TTL-LS  74LS138;74LS138;;;;;
5;TTL-LS  74LS14N;74LS14N;;;;;
0;TTL-LS  74LS155;74LS155;;;;;
6;TTL-LS  74LS157;74LS157;;;;;
6;TTL-LS  74LS163;74LS163;;;;;
13;TTL-LS  74LS165;74LS165;;;;;
2;TTL-LS  74LS174;74LS174;;;;;
2;TTL-LS  74LS175;74LS175;;;;;
3;TTL-LS  74LS221;74LS221;;;;;
3;TTL-LS  74LS193;74LS193;Bin‰rz‰hler;;;;
4;TTL-LS 74LS240;74LS240;;;;;
1;TTL-LS 74LS20;74LS20;2 Nands mit je 4 ;;;;
9;TTL-LS  74LS273;74LS273;;;;;
8;TTL-LS  74LS30;74LS30;;;;;
6;TTL-LS  74LS32;74LS32;;;;;
1;TTL-LS  74LS33;74LS33;;;;;
10;TTL-LS  74LS373;74LS373;;;;;
11;TTL-LS  74LS374;74LS374;;;;;
8;TTL-LS  74LS47;74LS47;1aus10 Decoder;;;;
4;TTL-LS  74LS642;74LS642;;;;;
17;TTL-LS  74LS73;74LS73;;;;;
6;TTL-LS  74LS74;74LS74;;;;;
7;TTL-LS  74LS75;74LS75;;;;;
22;TTL-LS  74LS85;74LS85;;;;;
6;TTL-LS  74LS86;74LS86;;;;;
4;TTL-LS  74LS90;74LS90;;;;;
2;Uhren IC  MM 57160N;MM 57160N;;;;;
3;Unijunktion  2N2646;2N2646;;;;;
1;Varistor 60V  2322 593 56006;2322 593 56006;;;;;
2;Vor/RÅck ZÑhler  7217;7217;;;;;
88;Widerstand 0.6W  0.22R;0.22R;;;;;
54;Widerstand 0.6W  1.2K;1.2K;;;;;
41;Widerstand 0.6W  1.2M;1.2M;;;;;
16;Widerstand 0.6W  1.5K;1.5K;;;;;
135;Widerstand 0.6W  1.5M;1.5M;;;;;
54;Widerstand 0.6W  1.8K;1.8K;;;;;
86;Widerstand 0.6W  1.8M;1.8M;;;;;
53;Widerstand 0.6W  1.8R;1.8R;;;;;
29;Widerstand 0.6W  100K;100k;;;;;
37;Widerstand 0.6W  100R;100R;;;;;
28;Widerstand 0.6W  10K;10K;;;;;
27;Widerstand 0.6W  10M;10M;;;;;
14;Widerstand 0.6W  10R;10R;;;;;
28;Widerstand 0.6W  120K;120K;;;;;
22;Widerstand 0.6W  120R;120R;;;;;
24;Widerstand 0.6W  12K;12K;;;;;
69;Widerstand 0.6W  12R;12R;;;;;
59;Widerstand 0.6W  150K;150K;;;;;
15;Widerstand 0.6W  150R;150R;;;;;
58;Widerstand 0.6W  15K;15K;;;;;
61;Widerstand 0.6W  15R;15R;;;;;
139;Widerstand 0.6W  180K;180K;;;;;
20;Widerstand 0.6W  180R;180R;;;;;
24;Widerstand 0.6W  18K;18K;;;;;
6;Widerstand 0.6W  18R;18R;;;;;
50;Widerstand 0.6W  1K;1K;;;;;
46;Widerstand 0.6W  1M;1M;;;;;
57;Widerstand 0.6W  2.2K;2.2K;;;;;
20;Widerstand 0.6W  2.2M;2.2M;;;;;
22;Widerstand 0.6W  2.2R;2.2R;;;;;
102;Widerstand 0.6W  2.7K;2.7K;;;;;
50;Widerstand 0.6W  2.7M;2.7M;;;;;
54;Widerstand 0.6W  2.7R;2.7R;;;;;
23;Widerstand 0.6W  200R;200R;;;;;
124;Widerstand 0.6W  220K;220K;;;;;
50;Widerstand 0.6W  220R;220R;;;;;
29;Widerstand 0.6W  22K;22K;;;;;
40;Widerstand 0.6W  22R;22R;;;;;
53;Widerstand 0.6W  270K;270K;;;;;
76;Widerstand 0.6W  270R;270R;;;;;
77;Widerstand 0.6W  27K;27K;;;;;
54;Widerstand 0.6W  27R;27R;;;;;
49;Widerstand 0.6W  3.3K;3.3K;;;;;
95;Widerstand 0.6W  3.3M;3.3M;;;;;
24;Widerstand 0.6W  3.9K;3.9K;;;;;
86;Widerstand 0.6W  3.9M;3.9M;;;;;
47;Widerstand 0.6W  300k;300k;;;;;
58;Widerstand 0.6W  330K;330K;;;;;
92;Widerstand 0.6W  330R;330R;;;;;
40;Widerstand 0.6W  33K;33K;;;;;
25;Widerstand 0.6W  33R;33R;;;;;
64;Widerstand 0.6W  390K;390K;;;;;
100;Widerstand 0.6W  390R;390R;;;;;
63;Widerstand 0.6W  39K;39K;;;;;
28;Widerstand 0.6W  39R;39R;;;;;
186;Widerstand 0.6W  4.7k;4.7k;;;;;
101;Widerstand 0.6W  4.7M;4.7M;;;;;
64;Widerstand 0.6W  470K;470K;;;;;
102;Widerstand 0.6W  470R;470R;;;;;
53;Widerstand 0.6W  47K;47K;;;;;
18;Widerstand 0.6W  47R;47R;;;;;
28;Widerstand 0.6W  5.6K;5.6K;;;;;
20;Widerstand 0.6W  560K;560K;;;;;
148;Widerstand 0.6W  560R;560R;;;;;
53;Widerstand 0.6W  56K;56K;;;;;
16;Widerstand 0.6W  56R;56R;;;;;
98;Widerstand 0.6W  6.8K;6.8K;;;;;
55;Widerstand 0.6W  6.8R;6.8R;;;;;
47;Widerstand 0.6W  680K;680K;;;;;
53;Widerstand 0.6W  680R;680R;;;;;
48;Widerstand 0.6W  68K;68K;;;;;
45;Widerstand 0.6W  68R;68R;;;;;
48;Widerstand 0.6W  7.5k;7.5k;;;;;
71;Widerstand 0.6W  75K;75K;;;;;
51;Widerstand 0.6W  8.2k;8.2k;;;;;
24;Widerstand 0.6W  820k;820k;;;;;
142;Widerstand 0.6W  820R;820R;2 KÑsten verteilt;;;;
40;Widerstand 0.6W  82K;82K;;;;;
110;Widerstand 0.6W  82R;82R;;;;;
54;Widerstand 0.6W  910R;910R;;;;;
39;Widerstand> 0.6W  0.1R;0.1R;;;;;
15;Widerstand> 0.6W  0.47R;0.47R;;;;;
22;Widerstand> 0.6W  1.8K;1.8K;;;;;
26;Widerstand> 0.6W  120R;120R;;;;;
18;Widerstand> 0.6W  12K;12K;;;;;
1;Widerstand> 0.6W  150R;150R;;;;;
20;Widerstand> 0.6W  15K;15K;;;;;
70;Widerstand> 0.6W  18K;18K;;;;;
8;Widerstand> 0.6W  1R;1R;;;;;
6;Widerstand> 0.6W  2.2K;2.2K;;;;;
105;Widerstand> 0.6W  2.7K;2.7K;;;;;
123;Widerstand> 0.6W  220R;220R;;;;;
8;Widerstand> 0.6W  22K;22K;;;;;
59;Widerstand> 0.6W  270R;270R;;;;;
20;Widerstand> 0.6W  27K;27K;;;;;
103;Widerstand> 0.6W  3.3K;3.3K;;;;;
2;Widerstand> 0.6W  3.9K;3.9K;;;;;
11;Widerstand> 0.6W  330R;330R;;;;;
21;Widerstand> 0.6W  390R;390R;;;;;
4;Widerstand> 0.6W  39K;39K;;;;;
147;Widerstand> 0.6W  4.7K;4.7K;;;;;
54;Widerstand> 0.6W  470R;470R;;;;;
3;Widerstand> 0.6W  5.6K;5.6K;;;;;
3;Widerstand> 0.6W  560R;560R;;;;;
17;Widerstand> 0.6W  56R;56R;;;;;
10;Widerstand> 0.6W  6.8K;6.8K;;;;;
2;Widerstand> 0.6W  650R;650R;;;;;
10;Widerstand> 0.6W  68K;68K;;;;;
4;Widerstand> 0.6W  8.2K;8.2K;;;;;
22;Widerstand> 0.6W  820R;820R;;;;;
4;Widerstand> 0.6W  82K;82K;;;;;
2;Wire-wrap-Draht  AWG 30 blau;AWG 30 blau;Schublade2;;;;
2;Wire-wrap-Draht  AWG 30 rot;AWG 30 rot;Schublade2;;;;
2;WÅ¸rfelbuchse  .;..;;;;;
3;WÅ¸rfelstecker  4 pol.;4 pol.;;;;;
23;Zenerdiode  1N5338B;1N5338B;;;;;
19;Zenerdiode  BZ102;BZ102;;;;;
298;Zenerdiode  BZX 79 15V;BZX 79 15V;nicht bestellen;;;;
58;Zenerdiode  ZPD 3.0;ZPD 3.0;;;;;
11;Zenerdiode  ZPD 7.5;ZPD 7.5;;;;;
4;Zenerdiode  ZPD16;ZPD16;;;;;
82;Zenerdiode  ZPD2.7;ZPD2.7;;;;;
26;Zenerdiode  ZPD20;ZPD20;;;;;
3;Zenerdiode  ZPD24;ZPD24;;;;;
23;Zenerdiode  ZPD4.7;ZPD4.7;;;;;
17;Zenerdiode  ZPD6.2;ZPD6.2;;;;;
4;Zenerdiode  ZPY10;ZPY10;;;;;
11;Zenerdiode  ZPY15;ZPY15;;;;;
14;Zenerdiode  ZPY5.6;ZPY5.6;;;;;
10;Zenerdiode  ZPY6.8;ZPY6.8;;;;;
20;Zenerdiode  ZPY8.2;ZPY8.2;;;;;
57;Zenerdiode  ZY180;ZY180;;;;;
54;Zugentlastung  kk 2;kk 2;;;;;
6;‹bertrager 1:10;.;;;;;
9;‹bertrager 1:8;.;;;;;
2;TTL-LS  74LS27;74LS27;;;;;
